ID		Centroid		Bounding Box		Equivalent diameter
79	[283.062091503268,	238.38071895424838]	[95.0,	49.0,	1.0]		39.477147854877245
80	[278.05055698371893,	233.48843187660668]	[79.0,	38.0,	1.0]		38.54699143520717
81	[277.14229249011856,	233.34624505928855]	[87.0,	43.0,	1.0]		40.13287958881073
82	[274.33838383838383,	230.98316498316498]	[83.0,	43.0,	1.0]		38.89226888657144
83	[271.6813092161929,	226.79500430663222]	[79.0,	44.0,	1.0]		38.44777121547521
84	[268.53540587219345,	223.44041450777203]	[81.0,	57.0,	1.0]		38.39806496170502
85	[265.0410839160839,	219.23951048951048]	[79.0,	32.0,	1.0]		38.16524648390242
86	[266.0443213296399,	216.27054478301017]	[79.0,	37.0,	1.0]		37.13379090462191
87	[265.80283018867925,	209.8801886792453]	[82.0,	39.0,	1.0]		36.73736405104852
88	[262.05700934579437,	207.34112149532712]	[79.0,	37.0,	1.0]		36.910246719124274
89	[259.9696106362773,	203.1851851851852]	[78.0,	29.0,	1.0]		36.61586050615398
90	[261.5051993067591,	196.2001733102253]	[78.0,	24.0,	1.0]		38.33168969174693
91	[265.47511312217193,	194.6868778280543]	[78.0,	30.0,	1.0]		37.50906153094682
92	[253.79722222222222,	194.00925925925927]	[78.0,	30.0,	1.0]		37.0823233942262
93	[252.42435775451952,	188.3187440532826]	[78.0,	32.0,	1.0]		36.581071082141044
94	[250.8377358490566,	186.34622641509435]	[78.0,	27.0,	1.0]		36.73736405104852
95	[244.78916256157635,	185.792118226601]	[78.0,	22.0,	1.0]		35.949104827605794
96	[249.7846012832264,	183.24106324472962]	[78.0,	26.0,	1.0]		37.2706901372387
97	[244.7507788161994,	179.98442367601245]	[79.0,	29.0,	1.0]		35.01613458935697
98	[244.2899353647276,	178.68605724838412]	[78.0,	19.0,	1.0]		37.13379090462191
99	[241.71643192488264,	173.04600938967135]	[78.0,	17.0,	1.0]		36.823906842470535
100	[244.65403624382208,	171.06177924217462]	[78.0,	17.0,	1.0]		39.315554266835505
101	[242.13835376532398,	166.94133099824867]	[78.0,	21.0,	1.0]		38.13187066074199
102	[241.77037037037036,	164.8138888888889]	[78.0,	17.0,	1.0]		37.0823233942262
103	[238.26020408163265,	166.37142857142857]	[79.0,	19.0,	1.0]		35.32385530828224
104	[237.57156580211335,	163.3487031700288]	[78.0,	16.0,	1.0]		36.40662530459675
105	[238.64472410454985,	152.52662149080348]	[78.0,	18.0,	1.0]		36.266464532835606
106	[231.6908396946565,	156.37022900763358]	[78.0,	20.0,	1.0]		36.52882482208332
107	[232.99810426540284,	149.35924170616113]	[79.0,	17.0,	1.0]		36.6506169074355
108	[228.65362595419847,	148.8959923664122]	[78.0,	16.0,	1.0]		36.52882482208332
109	[225.24907063197026,	144.75836431226764]	[79.0,	16.0,	1.0]		37.013588722725
110	[219.42970123022846,	142.62917398945518]	[79.0,	16.0,	1.0]		38.065031221695
111	[221.4627802690583,	138.295067264574]	[78.0,	16.0,	1.0]		37.67840352748118
112	[222.90485074626866,	133.232276119403]	[78.0,	16.0,	1.0]		36.94472617243352
113	[214.60473269062226,	128.68536371603855]	[79.0,	16.0,	1.0]		38.11517178949638
114	[213.22976501305482,	127.22715404699738]	[78.0,	18.0,	1.0]		38.24855862513909
115	[212.46644573322286,	121.78956089478045]	[77.0,	16.0,	1.0]		39.202042427599885
116	[207.87006578947367,	119.35526315789474]	[77.0,	17.0,	1.0]		39.34792607492748
117	[209.48394160583942,	110.66277372262773]	[77.0,	17.0,	1.0]		41.76527476609214
118	[202.5523941707148,	102.20471894517696]	[77.0,	17.0,	1.0]		42.83384390833222
119	[196.049436795995,	101.42177722152691]	[77.0,	16.0,	1.0]		45.106948383666904
120	[191.91773778920307,	100.83419023136247]	[77.0,	17.0,	1.0]		44.510231763134115
121	[190.66361256544502,	98.64332460732984]	[79.0,	16.0,	1.0]		44.10793607000138
